VisitID,Species,Breed_Stage,COHORT,N,Colony,DATE,Method
169,NRPE,INCU,AD,1004,Admirals,26/10/2009,COLO
182,NRPE,INCU,INCU,24,Admirals,26/10/2009,COLO
154,NRPE,INCU,INCU,24,Admirals,26/10/2009,COLO
169,NRPE,INCU,INCU,24,Admirals,26/10/2009,COLO
182,NRPE,INCU,INCU,527,Admirals,26/10/2009,COLO
154,NRPE,INCU,INCU,527,Admirals,26/10/2009,COLO
169,NRPE,INCU,INCU,527,Admirals,26/10/2009,COLO
182,NRPE,INCU,INCU,918,Admirals,26/10/2009,COLO
154,NRPE,INCU,INCU,918,Admirals,26/10/2009,COLO
169,NRPE,INCU,INCU,918,Admirals,26/10/2009,COLO
155,NRPE,INCU,AD,21,Admirals,26/10/2014,COLO
183,NRPE,INCU,AD,21,Admirals,26/10/2014,COLO
170,NRPE,INCU,AD,21,Admirals,26/10/2014,COLO
155,NRPE,INCU,AD,123,Admirals,26/10/2014,COLO
183,NRPE,INCU,AD,123,Admirals,26/10/2014,COLO
170,NRPE,INCU,AD,123,Admirals,26/10/2014,COLO
155,NRPE,INCU,AD,1309,Admirals,26/10/2014,COLO
183,NRPE,INCU,AD,1309,Admirals,26/10/2014,COLO
170,NRPE,INCU,AD,1309,Admirals,26/10/2014,COLO
155,NRPE,INCU,INCU,17,Admirals,26/10/2014,COLO
183,NRPE,INCU,INCU,17,Admirals,26/10/2014,COLO
170,NRPE,INCU,INCU,17,Admirals,26/10/2014,COLO
155,NRPE,INCU,INCU,111,Admirals,26/10/2014,COLO
183,NRPE,INCU,INCU,111,Admirals,26/10/2014,COLO
170,NRPE,INCU,INCU,111,Admirals,26/10/2014,COLO
155,NRPE,INCU,INCU,1196,Admirals,26/10/2014,COLO
183,NRPE,INCU,INCU,1196,Admirals,26/10/2014,COLO
170,NRPE,INCU,INCU,1196,Admirals,26/10/2014,COLO
171,NRPE,INCU,INCU,44,Admirals,26/10/2016,COLO
156,NRPE,INCU,INCU,44,Admirals,26/10/2016,COLO
184,NRPE,INCU,INCU,44,Admirals,26/10/2016,COLO
171,NRPE,INCU,INCU,132,Admirals,26/10/2016,COLO
156,NRPE,INCU,INCU,132,Admirals,26/10/2016,COLO
184,NRPE,INCU,INCU,132,Admirals,26/10/2016,COLO
171,NRPE,INCU,INCU,1083,Admirals,26/10/2016,COLO
156,NRPE,INCU,INCU,1083,Admirals,26/10/2016,COLO
184,NRPE,INCU,INCU,1083,Admirals,26/10/2016,COLO
185,NRPE,CHIC,CHIC,16,Admirals,26/11/2015,COLO
157,NRPE,CHIC,CHIC,16,Admirals,26/11/2015,COLO
172,NRPE,CHIC,CHIC,16,Admirals,26/11/2015,COLO
185,NRPE,CHIC,CHIC,53,Admirals,26/11/2015,COLO
157,NRPE,CHIC,CHIC,53,Admirals,26/11/2015,COLO
172,NRPE,CHIC,CHIC,53,Admirals,26/11/2015,COLO
185,NRPE,CHIC,CHIC,528,Admirals,26/11/2015,COLO
157,NRPE,CHIC,CHIC,528,Admirals,26/11/2015,COLO
172,NRPE,CHIC,CHIC,528,Admirals,26/11/2015,COLO
142,NRPE,INCU,AD,202,Admirals,30/09/2006,COLO
142,NRPE,INCU,AD,565,Admirals,30/09/2006,COLO
142,NRPE,INCU,AON,99,Admirals,30/09/2006,COLO
142,NRPE,INCU,AON,245,Admirals,30/09/2006,COLO
186,TRAL,CHIC,CHIC,50,Albatross Plain,10/09/2010,SURV
187,TRAL,CHIC,CHIC,134,Albatross Plain,17/09/2015,SURV
188,TRAL,INCU,AON,207,Albatross Plain,19/02/2010,SURV
189,TRAL,CHIC,CHIC,123,Albatross Plain,20/09/2009,SURV
190,TRAL,CHIC,CHIC,55,Albatross Plain,20/09/2016,SURV
191,TRAL,CHIC,CHIC,139,Albatross Plain,23/09/2017,SURV
192,TRAL,INCU,AON,334,Albatross Plain,24/01/2015,SURV
193,TRAL,INCU,AON,398,Albatross Plain,30/01/2009,SURV
194,TRAL,INCU,AON,259,Albatross Plain,30/01/2017,SURV
195,TRAL,INCU,AON,203,Albatross Plain,31/01/2016,SURV
196,TRAL,INCU,AON,430,Albatross Plain,no specified date,SURV
196,TRAL,INCU,AON,325,Albatross Plain,no specified date,SURV
196,TRAL,INCU,AON,294,Albatross Plain,no specified date,SURV
196,TRAL,INCU,AON,283,Albatross Plain,no specified date,SURV
196,TRAL,INCU,AON,229,Albatross Plain,no specified date,SURV
196,TRAL,INCU,AON,231,Albatross Plain,no specified date,SURV
196,TRAL,INCU,AON,344,Albatross Plain,no specified date,SURV
196,TRAL,INCU,AON,205,Albatross Plain,no specified date,SURV
196,TRAL,INCU,AON,228,Albatross Plain,no specified date,SURV
196,TRAL,INCU,AON,237,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,168,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,160,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,74,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,89,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,110,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,117,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,52,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,130,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,158,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,94,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,47,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,74,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,113,Albatross Plain,no specified date,SURV
196,TRAL,CHIC,CHIC,11,Albatross Plain,no specified date,SURV
200,AYNA,CHIC,CHIC,19,Area 1,01/04/2014,SURV
201,AYNA,CHIC,CHIC,35,Area 1,01/04/2016,SURV
202,AYNA,INCU,AD,59,Area 1,07/10/2011,SURV
202,AYNA,INCU,AON,48,Area 1,07/10/2011,SURV
202,AYNA,INCU,INCU,30,Area 1,07/10/2011,SURV
203,AYNA,INCU,AD,55,Area 1,08/10/2010,SURV
203,AYNA,INCU,AON,49,Area 1,08/10/2010,SURV
203,AYNA,INCU,INCU,43,Area 1,08/10/2010,SURV
204,AYNA,INCU,AD,59,Area 1,11/10/2000,SURV
204,AYNA,INCU,AON,50,Area 1,11/10/2000,SURV
204,AYNA,INCU,INCU,39,Area 1,11/10/2000,SURV
205,AYNA,INCU,AD,57,Area 1,11/10/2005,SURV
205,AYNA,INCU,AON,55,Area 1,11/10/2005,SURV
205,AYNA,INCU,INCU,54,Area 1,11/10/2005,SURV
206,AYNA,CHIC,CHIC,48,Area 1,12/12/2008,SURV
207,AYNA,INCU,INCU,58,Area 1,13/10/2009,SURV
208,AYNA,CHIC,CHIC,32,Area 1,14/12/2010,SURV
209,AYNA,INCU,AD,59,Area 1,15/10/2008,SURV
209,AYNA,INCU,AON,59,Area 1,15/10/2008,SURV
209,AYNA,INCU,INCU,58,Area 1,15/10/2008,SURV
197,AYNA,INCU,INCU,56,Area 1,15/10/2016,SURV
210,AYNA,CHIC,CHIC,52,Area 1,16/12/2009,SURV
211,AYNA,CHIC,CHIC,20,Area 1,16/12/2011,SURV
212,AYNA,CHIC,CHIC,45,Area 1,17/03/2010,SURV
213,AYNA,INCU,AD,36,Area 1,17/10/2013,SURV
213,AYNA,INCU,AON,34,Area 1,17/10/2013,SURV
213,AYNA,INCU,INCU,31,Area 1,17/10/2013,SURV
214,AYNA,CHIC,CHIC,27,Area 1,18/03/2011,SURV
198,AYNA,CHIC,CHIC,46,Area 1,19/12/2016,SURV
215,AYNA,CHIC,CHIC,37,Area 1,21/12/2015,SURV
216,AYNA,INCU,AD,59,Area 1,22/10/2015,SURV
216,AYNA,INCU,AON,47,Area 1,22/10/2015,SURV
216,AYNA,INCU,INCU,43,Area 1,22/10/2015,SURV
217,AYNA,CHIC,CHIC,25,Area 1,22/12/2014,SURV
218,AYNA,INCU,AD,48,Area 1,24/10/2014,SURV
218,AYNA,INCU,AON,37,Area 1,24/10/2014,SURV
218,AYNA,INCU,INCU,34,Area 1,24/10/2014,SURV
199,AYNA,CHIC,CHIC,35,Area 1,25/03/2017,SURV
219,AYNA,CHIC,CHIC,24,Area 1,27/03/2009,SURV
220,AYNA,CHIC,CHIC,21,Area 1,30/03/2015,SURV
221,AYNA,CHIC,CHIC,19,Area 1,31/12/2013,SURV
222,AYNA,INCU,AON,55,Area 1,no specified date,SURV
222,AYNA,INCU,INCU,55,Area 1,no specified date,SURV
226,AYNA,CHIC,CHIC,44,Area 10,01/04/2014,SURV
227,AYNA,CHIC,CHIC,82,Area 10,02/04/2016,SURV
228,AYNA,INCU,AD,163,Area 10,05/11/2000,SURV
228,AYNA,INCU,AON,137,Area 10,05/11/2000,SURV
228,AYNA,INCU,INCU,95,Area 10,05/11/2000,SURV
229,AYNA,INCU,AD,145,Area 10,11/10/2010,SURV
229,AYNA,INCU,AON,130,Area 10,11/10/2010,SURV
229,AYNA,INCU,INCU,118,Area 10,11/10/2010,SURV
223,AYNA,INCU,INCU,131,Area 10,11/10/2016,SURV
230,AYNA,INCU,AD,128,Area 10,13/10/2008,SURV
230,AYNA,INCU,AON,124,Area 10,13/10/2008,SURV
230,AYNA,INCU,INCU,121,Area 10,13/10/2008,SURV
231,AYNA,INCU,INCU,108,Area 10,14/10/2009,SURV
232,AYNA,INCU,AD,133,Area 10,15/10/2015,SURV
232,AYNA,INCU,AON,120,Area 10,15/10/2015,SURV
232,AYNA,INCU,INCU,114,Area 10,15/10/2015,SURV
233,AYNA,INCU,AD,106,Area 10,16/10/2014,SURV
233,AYNA,INCU,AON,70,Area 10,16/10/2014,SURV
233,AYNA,INCU,INCU,64,Area 10,16/10/2014,SURV
234,AYNA,CHIC,CHIC,77,Area 10,16/12/2008,SURV
235,AYNA,CHIC,CHIC,72,Area 10,16/12/2009,SURV
236,AYNA,CHIC,CHIC,64,Area 10,17/03/2010,SURV
237,AYNA,CHIC,CHIC,75,Area 10,17/12/2011,SURV
238,AYNA,INCU,AD,76,Area 10,18/10/2013,SURV
238,AYNA,INCU,AON,68,Area 10,18/10/2013,SURV
238,AYNA,INCU,INCU,62,Area 10,18/10/2013,SURV
239,AYNA,CHIC,CHIC,69,Area 10,18/12/2010,SURV
240,AYNA,CHIC,CHIC,56,Area 10,19/03/2011,SURV
241,AYNA,CHIC,CHIC,85,Area 10,21/12/2015,SURV
224,AYNA,CHIC,CHIC,94,Area 10,22/12/2016,SURV
225,AYNA,CHIC,CHIC,63,Area 10,23/03/2017,SURV
242,AYNA,INCU,AD,156,Area 10,23/10/2011,SURV
242,AYNA,INCU,AON,121,Area 10,23/10/2011,SURV
242,AYNA,INCU,INCU,91,Area 10,23/10/2011,SURV
243,AYNA,INCU,AD,192,Area 10,26/11/2005,SURV
243,AYNA,INCU,AON,169,Area 10,26/11/2005,SURV
243,AYNA,INCU,INCU,143,Area 10,26/11/2005,SURV
244,AYNA,CHIC,CHIC,45,Area 10,26/12/2014,SURV
245,AYNA,INCU,AON,109,Area 10,27/10/2003,SURV
245,AYNA,INCU,INCU,109,Area 10,27/10/2003,SURV
246,AYNA,CHIC,CHIC,45,Area 10,30/03/2009,SURV
247,AYNA,CHIC,CHIC,35,Area 10,30/03/2015,SURV
248,AYNA,CHIC,CHIC,52,Area 10,31/12/2013,SURV
249,AYNA,INCU,INCU,97,Area 11,09/11/2009,SURV
253,AYNA,CHIC,CHIC,31,Area 2,01/04/2014,SURV
254,AYNA,CHIC,CHIC,19,Area 2,02/04/2016,SURV
255,AYNA,INCU,AD,98,Area 2,07/10/2010,SURV
255,AYNA,INCU,AON,89,Area 2,07/10/2010,SURV
255,AYNA,INCU,INCU,80,Area 2,07/10/2010,SURV
274,AYNA,INCU,AD,73,Area 2,11/10/2000,SURV
274,AYNA,INCU,AON,65,Area 2,11/10/2000,SURV
274,AYNA,INCU,INCU,59,Area 2,11/10/2000,SURV
256,AYNA,CHIC,CHIC,45,Area 2,12/12/2008,SURV
257,AYNA,INCU,AD,58,Area 2,13/10/2008,SURV
257,AYNA,INCU,AON,58,Area 2,13/10/2008,SURV
257,AYNA,INCU,INCU,58,Area 2,13/10/2008,SURV
258,AYNA,INCU,INCU,83,Area 2,14/10/2009,SURV
259,AYNA,INCU,AD,63,Area 2,15/10/2015,SURV
259,AYNA,INCU,AON,53,Area 2,15/10/2015,SURV
259,AYNA,INCU,INCU,51,Area 2,15/10/2015,SURV
260,AYNA,INCU,AD,100,Area 2,16/10/2005,SURV
260,AYNA,INCU,AON,91,Area 2,16/10/2005,SURV
260,AYNA,INCU,INCU,91,Area 2,16/10/2005,SURV
250,AYNA,INCU,INCU,55,Area 2,16/10/2016,SURV
261,AYNA,CHIC,CHIC,50,Area 2,16/12/2009,SURV
262,AYNA,CHIC,CHIC,53,Area 2,17/12/2010,SURV
263,AYNA,CHIC,CHIC,43,Area 2,18/03/2011,SURV
264,AYNA,INCU,AD,66,Area 2,18/10/2014,SURV
264,AYNA,INCU,AON,57,Area 2,18/10/2014,SURV
264,AYNA,INCU,INCU,52,Area 2,18/10/2014,SURV
265,AYNA,CHIC,CHIC,40,Area 2,18/12/2011,SURV
266,AYNA,CHIC,CHIC,4,Area 2,20/03/2010,SURV
251,AYNA,CHIC,CHIC,22,Area 2,21/03/2017,SURV
275,AYNA,INCU,AD,108,Area 2,21/09/2004,SURV
275,AYNA,INCU,AON,93,Area 2,21/09/2004,SURV
275,AYNA,INCU,INCU,9,Area 2,21/09/2004,SURV
267,AYNA,CHIC,CHIC,41,Area 2,21/12/2015,SURV
252,AYNA,CHIC,CHIC,44,Area 2,22/12/2016,SURV
268,AYNA,INCU,AD,80,Area 2,24/10/2011,SURV
268,AYNA,INCU,AON,68,Area 2,24/10/2011,SURV
268,AYNA,INCU,INCU,51,Area 2,24/10/2011,SURV
269,AYNA,CHIC,CHIC,22,Area 2,27/12/2014,SURV
276,AYNA,INCU,AON,66,Area 2,28/10/2003,SURV
276,AYNA,INCU,INCU,66,Area 2,28/10/2003,SURV
270,AYNA,INCU,AD,72,Area 2,29/10/2013,SURV
270,AYNA,INCU,AON,56,Area 2,29/10/2013,SURV
270,AYNA,INCU,INCU,44,Area 2,29/10/2013,SURV
271,AYNA,CHIC,CHIC,20,Area 2,30/03/2009,SURV
272,AYNA,CHIC,CHIC,9,Area 2,30/03/2015,SURV
273,AYNA,CHIC,CHIC,35,Area 2,31/12/2013,SURV
280,AYNA,CHIC,CHIC,13,Area 3,02/04/2014,SURV
281,AYNA,CHIC,CHIC,22,Area 3,02/04/2016,SURV
282,AYNA,INCU,AD,45,Area 3,08/10/2010,SURV
282,AYNA,INCU,AON,38,Area 3,08/10/2010,SURV
282,AYNA,INCU,INCU,32,Area 3,08/10/2010,SURV
283,AYNA,INCU,AD,43,Area 3,11/10/2000,SURV
283,AYNA,INCU,AON,41,Area 3,11/10/2000,SURV
283,AYNA,INCU,INCU,33,Area 3,11/10/2000,SURV
277,AYNA,INCU,INCU,55,Area 3,11/10/2016,SURV
284,AYNA,CHIC,CHIC,24,Area 3,12/12/2008,SURV
285,AYNA,INCU,INCU,51,Area 3,13/10/2009,SURV
286,AYNA,INCU,AD,43,Area 3,14/10/2008,SURV
286,AYNA,INCU,AON,41,Area 3,14/10/2008,SURV
286,AYNA,INCU,INCU,41,Area 3,14/10/2008,SURV
287,AYNA,INCU,AD,44,Area 3,16/10/2015,SURV
287,AYNA,INCU,AON,39,Area 3,16/10/2015,SURV
287,AYNA,INCU,INCU,39,Area 3,16/10/2015,SURV
288,AYNA,CHIC,CHIC,27,Area 3,16/12/2009,SURV
289,AYNA,CHIC,CHIC,16,Area 3,16/12/2011,SURV
290,AYNA,INCU,AD,29,Area 3,17/10/2014,SURV
290,AYNA,INCU,AON,19,Area 3,17/10/2014,SURV
290,AYNA,INCU,INCU,17,Area 3,17/10/2014,SURV
291,AYNA,CHIC,CHIC,21,Area 3,17/12/2010,SURV
292,AYNA,INCU,AD,54,Area 3,18/10/2005,SURV
292,AYNA,INCU,AON,41,Area 3,18/10/2005,SURV
292,AYNA,INCU,INCU,36,Area 3,18/10/2005,SURV
293,AYNA,CHIC,CHIC,14,Area 3,19/03/2011,SURV
294,AYNA,INCU,AD,32,Area 3,19/10/2013,SURV
294,AYNA,INCU,AON,29,Area 3,19/10/2013,SURV
294,AYNA,INCU,INCU,27,Area 3,19/10/2013,SURV
295,AYNA,CHIC,CHIC,15,Area 3,20/03/2010,SURV
296,AYNA,INCU,AD,72,Area 3,21/09/2004,SURV
296,AYNA,INCU,AON,55,Area 3,21/09/2004,SURV
296,AYNA,INCU,INCU,6,Area 3,21/09/2004,SURV
297,AYNA,INCU,AD,43,Area 3,21/10/2011,SURV
297,AYNA,INCU,AON,32,Area 3,21/10/2011,SURV
297,AYNA,INCU,INCU,20,Area 3,21/10/2011,SURV
298,AYNA,CHIC,CHIC,27,Area 3,21/12/2015,SURV
278,AYNA,CHIC,CHIC,34,Area 3,22/03/2017,SURV
279,AYNA,CHIC,CHIC,37,Area 3,22/12/2016,SURV
299,AYNA,CHIC,CHIC,18,Area 3,23/12/2013,SURV
300,AYNA,CHIC,CHIC,13,Area 3,26/12/2014,SURV
301,AYNA,CHIC,CHIC,13,Area 3,30/03/2009,SURV
302,AYNA,CHIC,CHIC,3,Area 3,30/03/2015,SURV
303,AYNA,INCU,AON,36,Area 3,31/10/2003,SURV
303,AYNA,INCU,INCU,36,Area 3,31/10/2003,SURV
305,AYNA,INCU,AD,128,Area 4,03/12/2005,SURV
305,AYNA,INCU,AON,97,Area 4,03/12/2005,SURV
305,AYNA,INCU,INCU,71,Area 4,03/12/2005,SURV
306,AYNA,INCU,AD,125,Area 4,10/10/2010,SURV
306,AYNA,INCU,AON,108,Area 4,10/10/2010,SURV
306,AYNA,INCU,INCU,87,Area 4,10/10/2010,SURV
307,AYNA,INCU,AD,125,Area 4,12/10/2000,SURV
307,AYNA,INCU,AON,111,Area 4,12/10/2000,SURV
307,AYNA,INCU,INCU,93,Area 4,12/10/2000,SURV
308,AYNA,INCU,INCU,123,Area 4,13/10/2009,SURV
304,AYNA,INCU,AD,128,Area 4,13/10/2016,SURV
304,AYNA,INCU,AON,106,Area 4,13/10/2016,SURV
304,AYNA,INCU,INCU,102,Area 4,13/10/2016,SURV
309,AYNA,INCU,AD,125,Area 4,14/10/2008,SURV
309,AYNA,INCU,AON,119,Area 4,14/10/2008,SURV
309,AYNA,INCU,INCU,116,Area 4,14/10/2008,SURV
310,AYNA,INCU,AD,63,Area 4,17/10/2014,SURV
310,AYNA,INCU,AON,39,Area 4,17/10/2014,SURV
310,AYNA,INCU,INCU,36,Area 4,17/10/2014,SURV
311,AYNA,INCU,AD,94,Area 4,19/10/2013,SURV
311,AYNA,INCU,AON,83,Area 4,19/10/2013,SURV
311,AYNA,INCU,INCU,77,Area 4,19/10/2013,SURV
312,AYNA,INCU,AD,147,Area 4,26/10/2015,SURV
