VisitID,NestID,DateGood,Time,Stage,Status,Content,Attendance,FailureCause,NOTES
62,ATPE_2013_Seal Beach_7_68,2013-12-20,12:00,CHIC,Alive,1,,,NA
63,ATPE_2013_Seal Beach_7_68,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
64,ATPE_2013_Seal Beach_7_68,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
65,ATPE_2013_Seal Beach_7_73,2013-12-20,12:00,CHIC,Alive,1,,,NA
66,ATPE_2013_Seal Beach_7_73,2013-12-20,12:00,CHIC,Alive,1,,,NA
67,ATPE_2013_Seal Beach_7_73,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
68,ATPE_2013_Seal Beach_7_73,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
69,ATPE_2013_Snoekgat_8_49,2013-12-19,12:00,CHIC,Alive,1,,,NA
70,ATPE_2013_Snoekgat_8_49,2013-12-19,12:00,CHIC,Alive,1,,,NA
71,ATPE_2013_Snoekgat_8_49,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
72,ATPE_2013_Snoekgat_8_49,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
73,ATPE_2013_Snoekgat_8_66,2013-12-19,12:00,CHIC,Alive,1,,,NA
74,ATPE_2013_Snoekgat_8_66,2013-12-19,12:00,CHIC,Alive,1,,,NA
75,ATPE_2013_Snoekgat_8_66,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
76,ATPE_2013_Snoekgat_8_66,2014-01-19,12:00,FAIL,Failed,0,,empty,NA
77,ATPE_2013_Tumbledown_1_11,2013-12-21,12:00,CHIC,Alive,1,,,NA
78,ATPE_2013_Tumbledown_1_11,2013-12-21,12:00,CHIC,Alive,1,,,NA
79,ATPE_2013_Tumbledown_1_11,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
80,ATPE_2013_Tumbledown_1_11,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
81,ATPE_2013_Tumbledown_1_19,2013-12-21,12:00,CHIC,Alive,1,,,NA
82,ATPE_2013_Tumbledown_1_19,2013-12-21,12:00,CHIC,Alive,1,,,NA
83,ATPE_2013_Tumbledown_1_19,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
84,ATPE_2013_Tumbledown_1_19,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
85,ATPE_2013_Tumbledown_1_25,2013-12-21,12:00,CHIC,Alive,1,,,NA
86,ATPE_2013_Tumbledown_1_25,2013-12-21,12:00,CHIC,Alive,1,,,NA
87,ATPE_2013_Tumbledown_1_25,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
88,ATPE_2013_Tumbledown_1_25,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
89,ATPE_2013_Tumbledown_1_26,2013-12-21,12:00,CHIC,Alive,1,,,NA
90,ATPE_2013_Tumbledown_1_26,2013-12-21,12:00,CHIC,Alive,1,,,NA
91,ATPE_2013_Tumbledown_1_26,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
92,ATPE_2013_Tumbledown_1_26,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
93,ATPE_2013_Tumbledown_1_27,2013-12-21,12:00,CHIC,Alive,1,,,NA
94,ATPE_2013_Tumbledown_1_27,2013-12-21,12:00,CHIC,Alive,1,,,NA
95,ATPE_2013_Tumbledown_1_27,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
96,ATPE_2013_Tumbledown_1_27,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
97,ATPE_2013_Tumbledown_1_3,2013-12-21,12:00,CHIC,Alive,1,,,NA
98,ATPE_2013_Tumbledown_1_3,2013-12-21,12:00,CHIC,Alive,1,,,NA
99,ATPE_2013_Tumbledown_1_3,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
100,ATPE_2013_Tumbledown_1_3,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
101,ATPE_2013_Tumbledown_1_33,2013-12-21,12:00,CHIC,Alive,1,,,NA
102,ATPE_2013_Tumbledown_1_33,2013-12-21,12:00,CHIC,Alive,1,,,NA
103,ATPE_2013_Tumbledown_1_33,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
104,ATPE_2013_Tumbledown_1_33,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
105,ATPE_2013_Tumbledown_2_48,2013-12-21,12:00,CHIC,Alive,1,,,NA
106,ATPE_2013_Tumbledown_2_48,2013-12-21,12:00,CHIC,Alive,1,,,NA
107,ATPE_2013_Tumbledown_2_48,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
108,ATPE_2013_Tumbledown_2_48,2014-01-18,12:00,FAIL,Failed,0,,empty,NA
109,AYNA_2006_Brians YN colony__100,2006-09-20,12:00,INCU,Alive,,1,,NA
110,AYNA_2006_Brians YN colony__105,2006-09-17,12:00,INCU,Alive,,1,,NA
111,AYNA_2006_Brians YN colony__105,2006-09-20,12:00,INCU,Alive,,1,,NA
112,AYNA_2006_Brians YN colony__105,2006-09-24,12:00,INCU,Alive,,1,,NA
113,AYNA_2006_Brians YN colony__105,2006-09-28,12:00,INCU,Alive,,1,,NA
114,AYNA_2006_Brians YN colony__105,2006-09-30,12:00,INCU,Alive,,1,,NA
115,AYNA_2006_Brians YN colony__105,2006-10-03,12:00,INCU,Alive,1,1,,NA
116,AYNA_2006_Brians YN colony__105,2006-10-11,12:00,INCU,Alive,1,1,,NA
117,AYNA_2006_Brians YN colony__105,2006-10-19,12:00,INCU,Alive,1,1,,NA
118,AYNA_2006_Brians YN colony__105,2006-10-28,12:00,INCU,Alive,1,1,,NA
119,AYNA_2006_Brians YN colony__105,2006-11-08,12:00,INCU,Alive,1,1,,NA
120,AYNA_2006_Brians YN colony__105,2006-11-26,12:00,INCU,Alive,1,1,,NA
121,AYNA_2006_Brians YN colony__105,2006-12-13,12:00,CHIC,Alive,1,1,,NA
122,AYNA_2006_Brians YN colony__105,2007-03-08,12:00,FLED,Fledged,0,,8-58908 - Fledged?,NA
123,AYNA_2006_Brians YN colony__111,2006-09-17,12:00,INCU,Alive,,1,,NA
124,AYNA_2006_Brians YN colony__111,2006-09-20,12:00,INCU,Alive,,1,,NA
125,AYNA_2006_Brians YN colony__111,2006-09-28,12:00,INCU,Alive,,1,,NA
126,AYNA_2006_Brians YN colony__16,2006-09-28,12:00,INCU,Alive,1,1,,NA
127,AYNA_2006_Brians YN colony__16,2006-09-30,12:00,INCU,Alive,1,1,,NA
128,AYNA_2006_Brians YN colony__16,2006-10-03,12:00,INCU,Alive,1,1,,NA
129,AYNA_2006_Brians YN colony__16,2006-10-11,12:00,INCU,Alive,1,1,,NA
130,AYNA_2006_Brians YN colony__16,2006-10-19,12:00,INCU,Alive,1,1,,NA
131,AYNA_2006_Brians YN colony__16,2006-10-28,12:00,INCU,Alive,1,1,,NA
132,AYNA_2006_Brians YN colony__16,2006-11-08,12:00,INCU,Alive,1,1,,NA
133,AYNA_2006_Brians YN colony__16,2006-11-26,12:00,INCU,Alive,1,1,,NA
134,AYNA_2006_Brians YN colony__16,2006-12-13,12:00,CHIC,Alive,1,1,,NA
135,AYNA_2006_Brians YN colony__16,2007-03-08,12:00,FAIL,Failed,0,,FAILED,NA
136,AYNA_2006_Brians YN colony__169,2006-09-17,12:00,INCU,Alive,,2,,NA
137,AYNA_2006_Brians YN colony__169,2006-09-20,12:00,INCU,Alive,,1,,NA
138,AYNA_2006_Brians YN colony__169,2006-09-24,12:00,INCU,Alive,,1,,NA
139,AYNA_2006_Brians YN colony__169,2006-09-28,12:00,INCU,Alive,,1,,NA
140,AYNA_2006_Brians YN colony__169,2006-09-30,12:00,INCU,Alive,,1,,NA
141,AYNA_2006_Brians YN colony__169,2006-10-03,12:00,INCU,Alive,,2,A15 + A52 adj,NA
142,AYNA_2006_Brians YN colony__169,2006-11-08,12:00,INCU,Alive,,1,,NA
143,AYNA_2006_Brians YN colony__169,2006-11-26,12:00,INCU,Alive,,2,,NA
144,AYNA_2006_Brians YN colony__17,2006-10-28,12:00,INCU,Alive,,1,,NA
145,AYNA_2006_Brians YN colony__18,2006-09-17,12:00,INCU,Alive,,1,,NA
146,AYNA_2006_Brians YN colony__18,2006-09-28,12:00,INCU,Alive,1,1,,NA
147,AYNA_2006_Brians YN colony__18,2006-09-30,12:00,INCU,Alive,1,1,,NA
148,AYNA_2006_Brians YN colony__18,2006-10-03,12:00,INCU,Alive,1,1,,NA
149,AYNA_2006_Brians YN colony__18,2006-10-11,12:00,INCU,Alive,1,1,,NA
150,AYNA_2006_Brians YN colony__18,2006-10-19,12:00,INCU,Alive,1,1,,NA
151,AYNA_2006_Brians YN colony__18,2006-10-28,12:00,INCU,Alive,1,1,,NA
152,AYNA_2006_Brians YN colony__18,2006-11-08,12:00,INCU,Alive,1,1,,NA
153,AYNA_2006_Brians YN colony__18,2006-11-26,12:00,INCU,Alive,1,1,,NA
154,AYNA_2006_Brians YN colony__18,2006-12-13,12:00,CHIC,Alive,1,1,,NA
155,AYNA_2006_Brians YN colony__18,2007-03-08,12:00,FLED,Fledged,0,,8-58924 - Fledged?,NA
156,AYNA_2006_Brians YN colony__183,2006-09-17,12:00,INCU,Alive,,1,,NA
157,AYNA_2006_Brians YN colony__183,2006-09-20,12:00,INCU,Alive,,1,,NA
158,AYNA_2006_Brians YN colony__183,2006-09-24,12:00,INCU,Alive,,1,,NA
159,AYNA_2006_Brians YN colony__183,2006-09-28,12:00,INCU,Alive,,1,,NA
160,AYNA_2006_Brians YN colony__183,2006-09-30,12:00,INCU,Alive,1,1,,NA
161,AYNA_2006_Brians YN colony__183,2006-10-03,12:00,INCU,Alive,1,1,,NA
162,AYNA_2006_Brians YN colony__183,2006-10-11,12:00,INCU,Alive,1,1,,NA
163,AYNA_2006_Brians YN colony__183,2006-10-19,12:00,INCU,Alive,1,1,,NA
164,AYNA_2006_Brians YN colony__183,2006-10-28,12:00,INCU,Alive,1,1,,NA
165,AYNA_2006_Brians YN colony__183,2006-11-08,12:00,INCU,Alive,1,1,,NA
166,AYNA_2006_Brians YN colony__183,2006-11-26,12:00,INCU,Alive,1,1,,NA
167,AYNA_2006_Brians YN colony__183,2006-12-13,12:00,CHIC,Alive,1,1,,NA
168,AYNA_2006_Brians YN colony__183,2007-03-08,12:00,FAIL,Failed,0,,FAILED,NA
169,AYNA_2006_Brians YN colony__186,2006-09-17,12:00,INCU,Alive,,1,,NA
170,AYNA_2006_Brians YN colony__186,2006-09-20,12:00,INCU,Alive,,1,,NA
171,AYNA_2006_Brians YN colony__186,2006-09-28,12:00,INCU,Alive,,2,,NA
172,AYNA_2006_Brians YN colony__186,2006-09-30,12:00,INCU,Alive,1,1,,NA
173,AYNA_2006_Brians YN colony__186,2006-10-03,12:00,INCU,Alive,1,1,,NA
174,AYNA_2006_Brians YN colony__186,2006-10-11,12:00,INCU,Alive,1,1,,NA
175,AYNA_2006_Brians YN colony__186,2006-10-19,12:00,INCU,Alive,1,1,,NA
176,AYNA_2006_Brians YN colony__186,2006-10-28,12:00,INCU,Alive,1,1,,NA
177,AYNA_2006_Brians YN colony__186,2006-11-08,12:00,INCU,Alive,1,1,,NA
178,AYNA_2006_Brians YN colony__186,2006-11-26,12:00,INCU,Alive,1,1,,NA
179,AYNA_2006_Brians YN colony__186,2006-12-13,12:00,CHIC,Alive,1,1,,NA
180,AYNA_2006_Brians YN colony__186,2007-03-08,12:00,FLED,Fledged,0,,8-58905 - Fledged?,NA
181,AYNA_2006_Brians YN colony__203,2006-09-17,12:00,INCU,Alive,,1,,NA
182,AYNA_2006_Brians YN colony__203,2006-09-24,12:00,INCU,Alive,,1,,NA
183,AYNA_2006_Brians YN colony__203,2006-09-28,12:00,INCU,Alive,,1,,NA
184,AYNA_2006_Brians YN colony__203,2006-10-03,12:00,INCU,Alive,,1,,NA
185,AYNA_2006_Brians YN colony__203,2006-10-19,12:00,INCU,Alive,,1,,NA
186,AYNA_2006_Brians YN colony__204,2006-09-17,12:00,INCU,Alive,,1,,NA
187,AYNA_2006_Brians YN colony__204,2006-09-20,12:00,INCU,Alive,,1,,NA
188,AYNA_2006_Brians YN colony__204,2006-09-24,12:00,INCU,Alive,1,2,,NA
189,AYNA_2006_Brians YN colony__204,2006-09-28,12:00,INCU,Alive,1,1,,NA
190,AYNA_2006_Brians YN colony__204,2006-09-30,12:00,INCU,Alive,1,1,,NA
191,AYNA_2006_Brians YN colony__204,2006-10-03,12:00,INCU,Alive,1,1,,NA
192,AYNA_2006_Brians YN colony__204,2006-10-11,12:00,INCU,Alive,1,1,,NA
193,AYNA_2006_Brians YN colony__204,2006-10-19,12:00,INCU,Alive,1,1,,NA
194,AYNA_2006_Brians YN colony__204,2006-10-28,12:00,INCU,Alive,1,1,,NA
195,AYNA_2006_Brians YN colony__204,2006-11-08,12:00,INCU,Alive,1,1,,NA
196,AYNA_2006_Brians YN colony__204,2006-11-26,12:00,INCU,Alive,1,1,,NA
197,AYNA_2006_Brians YN colony__204,2006-12-13,12:00,CHIC,Alive,1,1,,NA
198,AYNA_2006_Brians YN colony__204,2007-03-08,12:00,FLED,Fledged,0,,8-58904 - Fledged?,NA
199,AYNA_2006_Brians YN colony__205,2006-09-17,12:00,INCU,Alive,,1,,NA
200,AYNA_2006_Brians YN colony__205,2006-09-24,12:00,INCU,Alive,1,1,,NA
201,AYNA_2006_Brians YN colony__205,2006-09-28,12:00,INCU,Alive,1,1,,NA
202,AYNA_2006_Brians YN colony__205,2006-09-30,12:00,INCU,Alive,1,1,,NA
203,AYNA_2006_Brians YN colony__205,2006-10-19,12:00,INCU,Alive,1,1,,NA
204,AYNA_2006_Brians YN colony__205,2006-10-28,12:00,INCU,Alive,1,1,,NA
205,AYNA_2006_Brians YN colony__205,2006-11-08,12:00,INCU,Alive,1,1,,NA
206,AYNA_2006_Brians YN colony__205,2006-11-26,12:00,INCU,Alive,1,1,,NA
207,AYNA_2006_Brians YN colony__205,2006-12-13,12:00,CHIC,Alive,1,1,,NA
208,AYNA_2006_Brians YN colony__205,2007-03-08,12:00,FLED,Fledged,0,,8-58917 - Fledged?,NA
209,AYNA_2006_Brians YN colony__22,2006-10-11,12:00,INCU,Alive,,2,,NA
210,AYNA_2006_Brians YN colony__23,2006-09-17,12:00,INCU,Alive,,1,,NA
211,AYNA_2006_Brians YN colony__23,2006-09-24,12:00,INCU,Alive,1,1,,NA
212,AYNA_2006_Brians YN colony__23,2006-09-28,12:00,INCU,Alive,1,1,,NA
213,AYNA_2006_Brians YN colony__23,2006-09-30,12:00,INCU,Alive,1,1,,NA
214,AYNA_2006_Brians YN colony__23,2006-10-03,12:00,INCU,Alive,1,1,,NA
215,AYNA_2006_Brians YN colony__23,2006-10-11,12:00,INCU,Alive,1,1,,NA
216,AYNA_2006_Brians YN colony__23,2006-10-19,12:00,INCU,Alive,1,1,,NA
217,AYNA_2006_Brians YN colony__23,2006-10-28,12:00,FAIL,Failed,0,,FAILED,NA
218,AYNA_2006_Brians YN colony__24,2006-09-17,12:00,INCU,Alive,,1,,NA
219,AYNA_2006_Brians YN colony__24,2006-09-24,12:00,INCU,Alive,,2,,NA
220,AYNA_2006_Brians YN colony__24,2006-09-28,12:00,INCU,Alive,1,1,,NA
221,AYNA_2006_Brians YN colony__24,2006-09-30,12:00,INCU,Alive,1,1,,NA
222,AYNA_2006_Brians YN colony__24,2006-10-03,12:00,INCU,Alive,1,1,,NA
223,AYNA_2006_Brians YN colony__24,2006-10-11,12:00,INCU,Alive,1,1,,NA
224,AYNA_2006_Brians YN colony__24,2006-10-19,12:00,INCU,Alive,1,1,,NA
225,AYNA_2006_Brians YN colony__24,2006-10-28,12:00,INCU,Alive,1,1,,NA
226,AYNA_2006_Brians YN colony__24,2006-11-08,12:00,INCU,Alive,1,1,,NA
227,AYNA_2006_Brians YN colony__24,2006-11-26,12:00,INCU,Alive,1,1,,NA
228,AYNA_2006_Brians YN colony__24,2006-12-13,12:00,CHIC,Alive,1,1,,NA
229,AYNA_2006_Brians YN colony__24,2007-03-08,12:00,FLED,Fledged,0,,8-58928 - Fledged?,NA
230,AYNA_2006_Brians YN colony__25,2006-09-24,12:00,INCU,Alive,1,1,,NA
231,AYNA_2006_Brians YN colony__25,2006-09-28,12:00,INCU,Alive,1,1,,NA
232,AYNA_2006_Brians YN colony__25,2006-09-30,12:00,INCU,Alive,1,1,,NA
233,AYNA_2006_Brians YN colony__25,2006-10-03,12:00,INCU,Alive,1,1,,NA
234,AYNA_2006_Brians YN colony__25,2006-10-11,12:00,INCU,Alive,1,1,,NA
235,AYNA_2006_Brians YN colony__25,2006-10-19,12:00,INCU,Alive,1,1,,NA
236,AYNA_2006_Brians YN colony__25,2006-10-28,12:00,INCU,Alive,1,1,,NA
237,AYNA_2006_Brians YN colony__25,2006-11-08,12:00,FAIL,Failed,0,,FAILED,NA
238,AYNA_2006_Brians YN colony__3,2006-09-17,12:00,INCU,Alive,,2,,NA
239,AYNA_2006_Brians YN colony__3,2006-09-30,12:00,INCU,Alive,,1,,NA
240,AYNA_2006_Brians YN colony__3,2006-10-03,12:00,INCU,Alive,1,1,,NA
241,AYNA_2006_Brians YN colony__3,2006-10-11,12:00,INCU,Alive,1,1,,NA
242,AYNA_2006_Brians YN colony__3,2006-10-19,12:00,INCU,Alive,1,1,,NA
243,AYNA_2006_Brians YN colony__3,2006-10-28,12:00,INCU,Alive,1,1,,NA
244,AYNA_2006_Brians YN colony__3,2006-11-08,12:00,FAIL,Failed,0,,FAILED,NA
245,AYNA_2006_Brians YN colony__301,2006-09-28,12:00,INCU,Alive,1,1,,NA
246,AYNA_2006_Brians YN colony__301,2006-09-30,12:00,INCU,Alive,1,1,,NA
247,AYNA_2006_Brians YN colony__301,2006-10-03,12:00,INCU,Alive,1,1,,NA
248,AYNA_2006_Brians YN colony__301,2006-10-11,12:00,INCU,Alive,2,1,,NA
249,AYNA_2006_Brians YN colony__301,2006-10-19,12:00,INCU,Alive,1,,1 egg + 1 egg broken,NA
250,AYNA_2006_Brians YN colony__301,2006-10-28,12:00,INCU,Alive,1,1,,NA
251,AYNA_2006_Brians YN colony__301,2006-11-08,12:00,INCU,Alive,1,1,,NA
252,AYNA_2006_Brians YN colony__301,2006-11-26,12:00,INCU,Alive,1,1,,NA
253,AYNA_2006_Brians YN colony__301,2006-12-13,12:00,CHIC,Alive,1,1,,NA
254,AYNA_2006_Brians YN colony__301,2007-03-08,12:00,FLED,Fledged,0,,8-58900 - Fledged?,NA
255,AYNA_2006_Brians YN colony__302,2006-09-17,12:00,INCU,Alive,,1,,NA
256,AYNA_2006_Brians YN colony__302,2006-09-20,12:00,INCU,Alive,,1,,NA
257,AYNA_2006_Brians YN colony__302,2006-09-24,12:00,INCU,Alive,,1,,NA
258,AYNA_2006_Brians YN colony__302,2006-09-28,12:00,INCU,Alive,1,1,,NA
259,AYNA_2006_Brians YN colony__302,2006-09-30,12:00,INCU,Alive,1,1,,NA
260,AYNA_2006_Brians YN colony__302,2006-10-03,12:00,INCU,Alive,1,1,,NA
261,AYNA_2006_Brians YN colony__302,2006-10-11,12:00,INCU,Alive,1,1,,NA
262,AYNA_2006_Brians YN colony__302,2006-10-19,12:00,INCU,Alive,1,1,,NA
263,AYNA_2006_Brians YN colony__302,2006-10-28,12:00,INCU,Alive,1,1,,NA
264,AYNA_2006_Brians YN colony__302,2006-11-08,12:00,INCU,Alive,1,1,,NA
265,AYNA_2006_Brians YN colony__302,2006-11-26,12:00,INCU,Alive,1,1,,NA
266,AYNA_2006_Brians YN colony__302,2006-12-13,12:00,CHIC,Alive,1,1,,NA
267,AYNA_2006_Brians YN colony__302,2007-03-08,12:00,FLED,Fledged,0,,8-58899 - Fledged?,NA
268,AYNA_2006_Brians YN colony__303,2006-09-20,12:00,INCU,Alive,,1,,NA
269,AYNA_2006_Brians YN colony__303,2006-09-24,12:00,INCU,Alive,,1,,NA
270,AYNA_2006_Brians YN colony__303,2006-09-28,12:00,INCU,Alive,1,1,,NA
271,AYNA_2006_Brians YN colony__303,2006-09-30,12:00,INCU,Alive,1,1,,NA
272,AYNA_2006_Brians YN colony__303,2006-10-03,12:00,INCU,Alive,1,1,,NA
273,AYNA_2006_Brians YN colony__303,2006-10-11,12:00,INCU,Alive,1,1,,NA
274,AYNA_2006_Brians YN colony__303,2006-10-19,12:00,INCU,Alive,1,1,,NA
275,AYNA_2006_Brians YN colony__303,2006-10-28,12:00,INCU,Alive,1,1,,NA
276,AYNA_2006_Brians YN colony__303,2006-11-08,12:00,INCU,Alive,1,1,,NA
277,AYNA_2006_Brians YN colony__303,2006-11-26,12:00,INCU,Alive,1,1,,NA
278,AYNA_2006_Brians YN colony__303,2006-12-13,12:00,CHIC,Alive,1,1,,NA
279,AYNA_2006_Brians YN colony__303,2007-03-08,12:00,FAIL,Failed,0,,FAILED,NA
280,AYNA_2006_Brians YN colony__304,2006-11-08,12:00,INCU,Alive,,1,,NA
281,AYNA_2006_Brians YN colony__306,2006-09-17,12:00,INCU,Alive,,2,A21 + B21 loaf adj,NA
282,AYNA_2006_Brians YN colony__306,2006-09-20,12:00,INCU,Alive,,2,,NA
283,AYNA_2006_Brians YN colony__306,2006-09-24,12:00,INCU,Alive,,2,,NA
284,AYNA_2006_Brians YN colony__306,2006-09-28,12:00,INCU,Alive,,1,,NA
285,AYNA_2006_Brians YN colony__306,2006-09-30,12:00,INCU,Alive,,1,,NA
286,AYNA_2006_Brians YN colony__306,2006-11-08,12:00,INCU,Alive,,2,,NA
287,AYNA_2006_Brians YN colony__306,2006-12-13,12:00,INCU,Alive,,1,,NA
288,AYNA_2006_Brians YN colony__308,2006-11-08,12:00,INCU,Alive,,1,,NA
289,AYNA_2006_Brians YN colony__310,2006-09-17,12:00,INCU,Alive,,1,,NA
290,AYNA_2006_Brians YN colony__310,2006-09-20,12:00,INCU,Alive,,2,,NA
291,AYNA_2006_Brians YN colony__310,2006-09-24,12:00,INCU,Alive,1,1,,NA
292,AYNA_2006_Brians YN colony__310,2006-09-28,12:00,INCU,Alive,1,1,,NA
